Galaxy,distance_mode,D_nominal_mpc,e_D_mpc,D_test_mpc,distance_shift_mpc,distance_shift_sigma,acm_cpp,mond_cpp,delta_cpp_mond_minus_acm,n_valid_mond,geometry_qc_flag,geometry_qc_reason,Qual
NGC5985,baseline,39.7,9.9,39.7,0.0,0.0,120.77749684944372,20.242516307358596,-100.53498054208512,33,ok,,1
NGC5985,D_minus_eD,39.7,9.9,29.800000000000004,-9.899999999999999,-0.9999999999999998,289.54837774277945,85.91777273563571,-203.63060500714374,33,ok,,1
NGC5985,D_plus_eD,39.7,9.9,49.6,9.899999999999999,0.9999999999999998,39.61671301690292,59.735843894945965,20.119130878043045,33,ok,,1
UGC06786,baseline,29.3,7.32,29.3,0.0,0.0,235.92738717814842,25.83726042862941,-210.09012674951902,45,ok,,1
UGC06786,D_minus_eD,29.3,7.32,21.98,-7.32,-1.0,530.1890386522132,111.5278984347308,-418.6611402174824,45,ok,,1
UGC06786,D_plus_eD,29.3,7.32,36.620000000000005,7.320000000000004,1.0000000000000004,101.51865880720268,135.838317131921,34.31965832471832,45,ok,,1
UGCA442,baseline,4.35,0.22,4.35,0.0,0.0,219.8320186070641,7.373758880938282,-212.45825972612582,8,review,large_velocity_shift;large_inclination_delta,1
UGCA442,D_minus_eD,4.35,0.22,4.13,-0.21999999999999975,-0.9999999999999989,187.19035658867108,5.3264439526481535,-181.86391263602292,8,review,large_velocity_shift;large_inclination_delta,1
UGCA442,D_plus_eD,4.35,0.22,4.569999999999999,0.21999999999999975,0.9999999999999989,254.73235192395327,11.170803290070499,-243.56154863388278,8,review,large_velocity_shift;large_inclination_delta,1
UGC05716,baseline,21.3,5.3,21.3,0.0,0.0,338.4289555459072,72.20262015681799,-266.2263353890892,12,review,large_velocity_shift,2
UGC05716,D_minus_eD,21.3,5.3,16.0,-5.300000000000001,-1.0000000000000002,690.2386843885469,27.674845609613286,-662.5638387789336,12,review,large_velocity_shift,2
UGC05716,D_plus_eD,21.3,5.3,26.6,5.300000000000001,1.0000000000000002,170.72911135025834,364.0568839267608,193.32777257650247,12,review,large_velocity_shift,2
UGC06787,baseline,21.3,5.32,21.3,0.0,0.0,419.97827199999927,86.07622687516174,-333.9020451248375,71,review,large_velocity_shift;large_inclination_delta,2
UGC06787,D_minus_eD,21.3,5.32,15.98,-5.32,-1.0,851.772298563688,144.0270751551338,-707.7452234085542,71,review,large_velocity_shift;large_inclination_delta,2
